name,href,tag
莫吸哥牛肉卷,https://www.metatft.com/player/na/%E8%8E%AB%E5%90%B8%E5%93%A5%E7%89%9B%E8%82%89%E5%8D%B7-Reddi,Reddi
milala,https://www.metatft.com/player/na/milala-milal,milal
VIT prestivent,https://www.metatft.com/player/na/VIT%20prestivent-123,123
Ripple Overdrive,https://www.metatft.com/player/na/Ripple%20Overdrive-NA1,NA1
100T Spencer,https://www.metatft.com/player/na/100T%20Spencer-TFT,TFT
11lumin,https://www.metatft.com/player/na/11lumin-1111,1111
TLeyds,https://www.metatft.com/player/na/TLeyds-LQD,LQD
LadderSlayer,https://www.metatft.com/player/na/LadderSlayer-NA1,NA1
me1stor8th,https://www.metatft.com/player/na/me1stor8th-518,518
Darth Nub,https://www.metatft.com/player/na/Darth%20Nub-NA2,NA2
KC Canbizz,https://www.metatft.com/player/na/KC%20Canbizz-61111,61111
bub,https://www.metatft.com/player/na/bub-NA2,NA2
TL ego,https://www.metatft.com/player/na/TL%20ego-ego1,ego1
kjump,https://www.metatft.com/player/na/kjump-juice,juice
junglebook1,https://www.metatft.com/player/na/junglebook1-NA1,NA1
1vs9peter,https://www.metatft.com/player/na/1vs9peter-1vs9,1vs9
shoma,https://www.metatft.com/player/na/shoma-INT1,INT1
CTG Kaiweng,https://www.metatft.com/player/na/CTG%20Kaiweng-CTG,CTG
MB DavidAs,https://www.metatft.com/player/na/MB%20DavidAs-TFTQC,TFTQC
VIT setsuko,https://www.metatft.com/player/na/VIT%20setsuko-NA2,NA2
traviscwatt,https://www.metatft.com/player/na/traviscwatt-cat,cat
jdzielinski,https://www.metatft.com/player/na/jdzielinski-PMD1,PMD1
VIT k3soju,https://www.metatft.com/player/na/VIT%20k3soju-000,000
Xnieamo,https://www.metatft.com/player/na/Xnieamo-NA1,NA1
KC Double,https://www.metatft.com/player/na/KC%20Double-NA11,NA11
thybeaster,https://www.metatft.com/player/na/thybeaster-wheh,wheh
Brucelolll,https://www.metatft.com/player/na/Brucelolll-NA1,NA1
TL Bapzera,https://www.metatft.com/player/na/TL%20Bapzera-NA2,NA2
Stellar Minhee,https://www.metatft.com/player/na/Stellar%20Minhee-wasdq,wasdq
Asta1,https://www.metatft.com/player/na/Asta1-NNA1,NNA1
bird,https://www.metatft.com/player/na/bird-biird,biird
CTG Marcel P,https://www.metatft.com/player/na/CTG%20Marcel%20P-NA2,NA2
wasianiverson,https://www.metatft.com/player/na/wasianiverson-NA2,NA2
sunjong kang,https://www.metatft.com/player/na/sunjong%20kang-NA1,NA1
IronBog,https://www.metatft.com/player/na/IronBog-999,999
Angøra,https://www.metatft.com/player/na/Ang%C3%B8ra-NA1,NA1
Blast At Moon,https://www.metatft.com/player/na/Blast%20At%20Moon-1234,1234
100T Kiyoon,https://www.metatft.com/player/na/100T%20Kiyoon-NA2,NA2
zhe li,https://www.metatft.com/player/na/zhe%20li-OCE2,OCE2
annoøyin,https://www.metatft.com/player/na/anno%C3%B8yin-NA1,NA1
Broseph,https://www.metatft.com/player/na/Broseph-LAB,LAB
M8 Jedusor,https://www.metatft.com/player/na/M8%20Jedusor-8457,8457
Upsetmax,https://www.metatft.com/player/na/Upsetmax-NA2,NA2
Kojnid,https://www.metatft.com/player/na/Kojnid-tft,tft
Nik,https://www.metatft.com/player/na/Nik-0283,0283
keans,https://www.metatft.com/player/na/keans-NA1,NA1
bossoskills,https://www.metatft.com/player/na/bossoskills-NA1,NA1
panche3e,https://www.metatft.com/player/na/panche3e-plink,plink
100T Dishsoap,https://www.metatft.com/player/na/100T%20Dishsoap-NA2,NA2
afkdrew,https://www.metatft.com/player/na/afkdrew-9257,9257
CTG dankmemes01,https://www.metatft.com/player/na/CTG%20dankmemes01-001,001
LC santiiii27,https://www.metatft.com/player/na/LC%20santiiii27-CAPO,CAPO
MAIKEL,https://www.metatft.com/player/na/MAIKEL-2892,2892
M8 Enzosx,https://www.metatft.com/player/na/M8%20Enzosx-1053,1053
Dreynox,https://www.metatft.com/player/na/Dreynox-NA1,NA1
Ashemoo,https://www.metatft.com/player/na/Ashemoo-XDD,XDD
slicedown,https://www.metatft.com/player/na/slicedown-meow,meow
